threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7871,0.6432,0.7092,0.8160,380912,2629088,1318971,0.0895,0.0480
0.60,0.8030,0.5124,0.7092,0.8160,380912,2629088,1662855,0.0895,0.0236
0.70,0.8103,0.3933,0.7092,0.8160,380912,2629088,1975980,0.0895,0.0104
0.80,0.8146,0.2815,0.7092,0.8160,380912,2629088,2269912,0.0895,0.0034
0.90,0.8158,0.1569,0.7092,0.8160,380912,2629088,2597496,0.0895,0.0006
0.95,0.8160,0.0809,0.7092,0.8160,380912,2629088,2797307,0.0895,0.0001
