epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.6699,0.3615,0.3708,3.0640,0.4494,0.4372,0.4504,0.07,0.0360,0.100000,41.0
2,3.3006,0.4559,0.4677,2.8233,0.5160,0.4562,0.5158,0.13,0.0243,0.099901,40.4
3,3.1441,0.4905,0.5178,2.7023,0.5706,0.4724,0.5686,0.17,0.0223,0.099606,39.4
4,3.0367,0.5145,0.5524,2.4376,0.6018,0.5478,0.6002,0.20,0.0584,0.099114,40.3
5,2.9680,0.5324,0.5704,2.4905,0.5940,0.5236,0.5900,0.24,0.0171,0.098429,39.4
6,2.9097,0.5386,0.5911,2.5387,0.5544,0.5644,0.5462,0.20,0.0524,0.097553,39.3
7,2.8597,0.5492,0.6080,2.4048,0.6228,0.5368,0.6230,0.24,0.0281,0.096489,39.3
8,2.8204,0.5570,0.6186,2.3273,0.6326,0.5432,0.6324,0.27,0.0144,0.095241,39.3
9,2.7809,0.5666,0.6308,2.3089,0.6190,0.5742,0.6112,0.25,0.0480,0.093815,39.2
10,2.7454,0.5711,0.6445,2.2338,0.6446,0.5764,0.6442,0.27,0.0300,0.092216,39.4
11,2.7360,0.5726,0.6465,2.2883,0.6196,0.5874,0.6080,0.26,0.0504,0.090451,39.3
12,2.7093,0.5769,0.6605,2.3245,0.6338,0.5770,0.6196,0.28,0.0281,0.088526,39.2
13,2.6869,0.5804,0.6652,2.2321,0.6634,0.5518,0.6702,0.29,0.0250,0.086448,39.4
14,2.6754,0.5830,0.6704,2.1012,0.6928,0.5846,0.6944,0.27,0.0398,0.084227,39.2
15,2.6581,0.5864,0.6721,2.2121,0.6458,0.5832,0.6430,0.25,0.0411,0.081871,39.1
16,2.6498,0.5870,0.6750,2.0821,0.6854,0.6026,0.6848,0.27,0.0532,0.079389,39.2
17,2.6377,0.5892,0.6795,2.2395,0.6632,0.5672,0.6640,0.24,0.0406,0.076791,39.4
18,2.6200,0.5948,0.6841,2.1075,0.6768,0.5812,0.6876,0.28,0.0339,0.074088,39.0
19,2.6007,0.5995,0.6874,2.0262,0.6974,0.6042,0.7030,0.27,0.0587,0.071289,39.2
20,2.5918,0.6008,0.6927,2.0232,0.7052,0.5970,0.7134,0.34,0.0208,0.068406,39.2
21,2.5807,0.6022,0.6947,2.1186,0.6730,0.6024,0.6778,0.28,0.0554,0.065451,39.3
22,2.5671,0.6039,0.6988,2.0806,0.6934,0.6174,0.6838,0.25,0.0768,0.062434,39.5
23,2.5485,0.6087,0.7037,1.9411,0.7030,0.6382,0.7020,0.31,0.0718,0.059369,39.2
24,2.5316,0.6120,0.7076,2.0264,0.6854,0.6200,0.6870,0.32,0.0457,0.056267,39.2
25,2.5159,0.6178,0.7115,1.9902,0.7048,0.6200,0.7024,0.28,0.0700,0.053140,39.5
26,2.5182,0.6168,0.7094,1.9468,0.7120,0.6198,0.7134,0.32,0.0373,0.050000,39.3
27,2.4901,0.6229,0.7167,2.0788,0.6640,0.6234,0.6564,0.35,0.0375,0.046860,39.4
28,2.4833,0.6261,0.7205,1.8929,0.7392,0.6392,0.7418,0.31,0.0720,0.043733,39.2
29,2.4697,0.6292,0.7237,1.8782,0.7288,0.6348,0.7332,0.35,0.0471,0.040631,39.3
30,2.4523,0.6367,0.7279,1.8415,0.7398,0.6474,0.7380,0.30,0.0779,0.037566,39.4
31,2.4387,0.6335,0.7321,1.7613,0.7482,0.6652,0.7500,0.35,0.0717,0.034549,39.1
32,2.4274,0.6423,0.7326,1.7880,0.7472,0.6636,0.7478,0.32,0.0836,0.031594,39.1
33,2.4028,0.6452,0.7416,1.8491,0.7180,0.6530,0.7208,0.35,0.0576,0.028711,39.2
34,2.3930,0.6506,0.7450,1.7247,0.7574,0.6726,0.7544,0.34,0.0845,0.025912,40.3
35,2.3774,0.6521,0.7456,1.7248,0.7620,0.6536,0.7642,0.37,0.0496,0.023209,40.4
36,2.3623,0.6554,0.7496,1.6689,0.7746,0.6774,0.7762,0.34,0.0955,0.020611,40.3
37,2.3477,0.6591,0.7554,1.7006,0.7648,0.6730,0.7648,0.35,0.0807,0.018129,40.2
38,2.3298,0.6608,0.7576,1.6729,0.7626,0.6790,0.7636,0.36,0.0837,0.015773,40.2
39,2.3237,0.6615,0.7636,1.6753,0.7628,0.6860,0.7590,0.38,0.0812,0.013552,39.9
40,2.3015,0.6695,0.7663,1.6555,0.7696,0.6804,0.7706,0.37,0.0737,0.011474,41.7
41,2.2879,0.6721,0.7725,1.6112,0.7828,0.6874,0.7824,0.37,0.0887,0.009549,41.5
42,2.2717,0.6714,0.7771,1.5800,0.7892,0.6984,0.7912,0.38,0.0895,0.007784,40.6
