threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7743,0.6343,0.6988,0.7949,383904,2271200,1214482,0.0833,0.0412
0.60,0.7863,0.5044,0.6988,0.7949,383904,2271200,1509511,0.0833,0.0202
0.70,0.7918,0.3901,0.6988,0.7949,383904,2271200,1769109,0.0833,0.0085
0.80,0.7946,0.2764,0.6988,0.7949,383904,2271200,2027344,0.0833,0.0026
0.90,0.7945,0.1455,0.6988,0.7949,383904,2271200,2324644,0.0833,0.0006
0.95,0.7950,0.0716,0.6988,0.7949,383904,2271200,2492486,0.0833,0.0001
