epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.6117,0.3529,0.4066,2.9718,0.5048,0.4238,0.5042,0.06,0.0252,0.100000,40.4
2,3.1634,0.4523,0.5457,2.6662,0.5712,0.4876,0.5682,0.13,0.0421,0.099901,40.6
3,2.9974,0.4885,0.5941,2.5495,0.6132,0.4868,0.6284,0.23,0.0362,0.099606,40.2
4,2.8878,0.5160,0.6248,2.4842,0.6070,0.5268,0.6080,0.14,0.0673,0.099114,40.4
5,2.8222,0.5292,0.6430,2.4080,0.6432,0.4908,0.6492,0.17,0.0212,0.098429,40.4
6,2.7599,0.5453,0.6621,2.5987,0.6424,0.4458,0.6532,0.23,0.0754,0.097553,40.6
7,2.7234,0.5536,0.6711,2.3490,0.6370,0.5554,0.6274,0.21,0.0510,0.096489,41.4
8,2.6874,0.5636,0.6846,2.2882,0.6638,0.5224,0.6756,0.29,0.0494,0.095241,40.7
9,2.6520,0.5737,0.6899,2.1940,0.6846,0.5618,0.6928,0.26,0.0347,0.093815,40.4
10,2.6141,0.5840,0.6975,2.0673,0.6960,0.6084,0.6944,0.23,0.0773,0.092216,40.3
11,2.5949,0.5889,0.7018,2.0041,0.7106,0.5984,0.7118,0.28,0.0475,0.090451,40.4
12,2.5626,0.5967,0.7088,2.0593,0.7054,0.5904,0.7056,0.25,0.0548,0.088526,40.3
13,2.5468,0.6026,0.7118,2.0267,0.6958,0.6218,0.6904,0.25,0.0927,0.086448,40.2
14,2.5250,0.6060,0.7186,1.9855,0.7018,0.6294,0.7016,0.31,0.0614,0.084227,40.5
15,2.5011,0.6130,0.7239,1.9950,0.7240,0.6038,0.7252,0.27,0.0544,0.081871,40.9
16,2.4835,0.6182,0.7283,2.0815,0.6904,0.6032,0.6886,0.30,0.0379,0.079389,40.4
17,2.4741,0.6211,0.7315,1.9495,0.7372,0.5790,0.7468,0.27,0.0302,0.076791,40.6
18,2.4531,0.6285,0.7355,2.1913,0.6458,0.6132,0.6370,0.27,0.0607,0.074088,40.3
19,2.4415,0.6304,0.7396,2.0052,0.7230,0.5988,0.7224,0.31,0.0269,0.071289,40.0
20,2.4317,0.6309,0.7427,2.0651,0.7398,0.5508,0.7478,0.33,0.0375,0.068406,40.4
21,2.4205,0.6307,0.7450,1.8513,0.7426,0.6306,0.7416,0.34,0.0429,0.065451,40.5
22,2.3982,0.6388,0.7512,2.0003,0.6908,0.6478,0.6788,0.33,0.0699,0.062434,40.0
23,2.3839,0.6416,0.7534,1.7711,0.7660,0.6488,0.7668,0.33,0.0776,0.059369,40.2
24,2.3681,0.6431,0.7550,1.9288,0.7472,0.6000,0.7506,0.31,0.0357,0.056267,40.4
25,2.3639,0.6476,0.7594,1.8064,0.7606,0.6374,0.7598,0.31,0.0624,0.053140,41.3
26,2.3530,0.6488,0.7602,1.8489,0.7466,0.6312,0.7500,0.32,0.0563,0.050000,40.2
27,2.3370,0.6520,0.7677,1.7555,0.7574,0.6722,0.7582,0.31,0.0998,0.046860,41.0
28,2.3206,0.6545,0.7705,1.7377,0.7754,0.6450,0.7810,0.33,0.0601,0.043733,40.0
29,2.3071,0.6593,0.7750,1.6936,0.7816,0.6644,0.7802,0.32,0.0867,0.040631,40.2
30,2.2915,0.6616,0.7763,1.7291,0.7796,0.6482,0.7824,0.36,0.0442,0.037566,40.2
31,2.2774,0.6625,0.7802,1.7672,0.7664,0.6464,0.7698,0.38,0.0398,0.034549,41.8
32,2.2676,0.6656,0.7846,1.6997,0.7756,0.6684,0.7782,0.34,0.0769,0.031594,40.3
33,2.2578,0.6682,0.7850,1.6395,0.7932,0.6830,0.7932,0.34,0.0952,0.028711,40.6
34,2.2461,0.6698,0.7912,1.6700,0.7816,0.6622,0.7834,0.35,0.0658,0.025912,40.5
35,2.2311,0.6734,0.7928,1.5970,0.8032,0.6840,0.8054,0.37,0.0834,0.023209,41.4
36,2.2166,0.6767,0.7992,1.5713,0.7902,0.6890,0.7946,0.37,0.0846,0.020611,40.8
37,2.2023,0.6795,0.8035,1.6086,0.7976,0.6792,0.7970,0.36,0.0846,0.018129,40.5
38,2.1830,0.6834,0.8076,1.5835,0.7978,0.6774,0.8020,0.35,0.0819,0.015773,40.7
39,2.1734,0.6846,0.8090,1.5419,0.8102,0.6966,0.8116,0.36,0.0948,0.013552,40.5
40,2.1593,0.6879,0.8151,1.5157,0.8076,0.6938,0.8158,0.39,0.0789,0.011474,41.0
41,2.1440,0.6906,0.8196,1.5012,0.8162,0.7014,0.8180,0.35,0.1083,0.009549,40.5
42,2.1262,0.6927,0.8258,1.4729,0.8220,0.7082,0.8230,0.38,0.1022,0.007784,40.5
43,2.1124,0.6962,0.8279,1.4395,0.8276,0.7094,0.8326,0.40,0.0890,0.006185,43.4
44,2.1013,0.6998,0.8306,1.4346,0.8266,0.7080,0.8286,0.39,0.0912,0.004759,44.4
45,2.0911,0.7020,0.8357,1.4242,0.8298,0.7108,0.8320,0.39,0.0939,0.003511,43.6
46,2.0821,0.6996,0.8365,1.4239,0.8258,0.7150,0.8286,0.39,0.1001,0.002447,41.0
47,2.0769,0.7025,0.8400,1.4152,0.8290,0.7140,0.8314,0.40,0.0970,0.001571,40.9
48,2.0694,0.7048,0.8416,1.4102,0.8270,0.7160,0.8302,0.41,0.0966,0.000886,44.7
49,2.0632,0.7070,0.8434,1.4069,0.8286,0.7160,0.8308,0.41,0.0952,0.000394,44.1
50,2.0657,0.7060,0.8423,1.4097,0.8284,0.7146,0.8310,0.40,0.0964,0.000099,44.2
