threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7941,0.7312,0.7496,0.8103,786752,2995520,1591948,0.0705,0.0396
0.60,0.8034,0.6135,0.7496,0.8103,786752,2995520,1944520,0.0705,0.0193
0.70,0.8077,0.5018,0.7496,0.8103,786752,2995520,2279120,0.0705,0.0089
0.80,0.8093,0.3793,0.7496,0.8103,786752,2995520,2646071,0.0705,0.0030
0.90,0.8103,0.2392,0.7496,0.8103,786752,2995520,3065744,0.0705,0.0006
0.95,0.8103,0.1417,0.7496,0.8103,786752,2995520,3357807,0.0705,0.0000
