threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7949,0.7041,0.7453,0.8063,786752,2995520,1673126,0.0813,0.0348
0.60,0.8031,0.5823,0.7453,0.8063,786752,2995520,2037981,0.0813,0.0165
0.70,0.8059,0.4719,0.7453,0.8063,786752,2995520,2368686,0.0813,0.0074
0.80,0.8071,0.3632,0.7453,0.8063,786752,2995520,2694299,0.0813,0.0028
0.90,0.8068,0.2233,0.7453,0.8063,786752,2995520,3113372,0.0813,0.0004
0.95,0.8062,0.1276,0.7453,0.8063,786752,2995520,3400044,0.0813,0.0002
