epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.2581,0.3414,0.4071,3.0124,0.5150,0.4200,0.5130,0.05,0.0502,0.100000,43.8
2,2.8756,0.4318,0.5380,2.7343,0.5330,0.4780,0.5380,0.09,0.0732,0.099901,43.0
3,2.7225,0.4649,0.5899,2.5841,0.6118,0.4526,0.6200,0.13,0.0190,0.099606,43.4
4,2.6197,0.4899,0.6254,2.5134,0.6420,0.4882,0.6414,0.09,0.0611,0.099114,43.6
5,2.5576,0.5101,0.6445,2.4860,0.6308,0.4922,0.6334,0.17,0.0282,0.098429,43.0
6,2.4969,0.5299,0.6618,2.2411,0.6752,0.5480,0.6766,0.17,0.0647,0.097553,42.6
7,2.4579,0.5429,0.6702,2.4107,0.6304,0.4988,0.6384,0.25,0.0369,0.096489,43.6
8,2.4243,0.5538,0.6826,2.3211,0.6616,0.4928,0.6844,0.26,0.0518,0.095241,43.8
9,2.3924,0.5599,0.6932,2.2820,0.6884,0.5030,0.7026,0.23,0.0272,0.093815,42.1
10,2.3670,0.5651,0.7000,2.1023,0.7130,0.5664,0.7220,0.28,0.0262,0.092216,43.5
11,2.3563,0.5705,0.7021,2.4056,0.6640,0.5034,0.6622,0.27,0.0402,0.090451,43.7
12,2.3326,0.5751,0.7089,2.2071,0.6666,0.5784,0.6640,0.24,0.0518,0.088526,43.7
13,2.3235,0.5797,0.7091,2.0329,0.7064,0.5984,0.7070,0.24,0.0729,0.086448,43.6
14,2.3033,0.5850,0.7161,2.0588,0.7136,0.5818,0.7118,0.29,0.0246,0.084227,44.0
15,2.2910,0.5873,0.7207,2.0271,0.7092,0.5898,0.7094,0.27,0.0387,0.081871,43.5
16,2.2774,0.5928,0.7224,2.0425,0.7008,0.6036,0.6926,0.25,0.0666,0.079389,43.8
17,2.2725,0.5921,0.7265,2.0253,0.7142,0.5988,0.7126,0.26,0.0665,0.076791,45.2
18,2.2544,0.5976,0.7321,2.1216,0.7138,0.5320,0.7314,0.30,0.0356,0.074088,44.5
19,2.2404,0.5989,0.7355,1.9297,0.7224,0.6258,0.7208,0.28,0.0758,0.071289,42.9
20,2.2279,0.6034,0.7392,1.8984,0.7334,0.6244,0.7344,0.29,0.0682,0.068406,45.7
21,2.2147,0.6081,0.7429,1.9875,0.7486,0.5752,0.7516,0.24,0.0478,0.065451,42.3
22,2.2049,0.6092,0.7471,2.0163,0.7122,0.5942,0.7132,0.32,0.0245,0.062434,42.4
23,2.1851,0.6143,0.7527,1.8876,0.7530,0.6074,0.7524,0.29,0.0475,0.059369,42.3
24,2.1793,0.6158,0.7533,1.9074,0.7374,0.6154,0.7302,0.28,0.0679,0.056267,43.2
25,2.1728,0.6219,0.7539,1.7991,0.7638,0.6302,0.7616,0.29,0.0757,0.053140,43.5
26,2.1565,0.6257,0.7604,1.8827,0.7354,0.6126,0.7392,0.29,0.0585,0.050000,44.1
27,2.1414,0.6258,0.7621,2.0180,0.7478,0.5514,0.7586,0.30,0.0136,0.046860,43.3
28,2.1219,0.6306,0.7685,1.7859,0.7666,0.6308,0.7684,0.28,0.0800,0.043733,43.8
