epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
29,2.0884,0.6889,0.7322,1.7164,0.7538,0.6876,0.7472,0.37,0.0807,0.040631,43.7
30,2.0763,0.6935,0.7328,1.6428,0.7668,0.6976,0.7648,0.38,0.0824,0.037566,44.0
31,2.0546,0.6989,0.7408,1.6082,0.7684,0.7120,0.7652,0.41,0.0852,0.034549,43.4
32,2.0401,0.7028,0.7456,1.7502,0.7470,0.6612,0.7574,0.43,0.0270,0.031594,43.9
33,2.0260,0.7012,0.7484,1.7121,0.7510,0.6592,0.7604,0.42,0.0230,0.028711,43.5
34,2.0192,0.7026,0.7536,1.5617,0.7748,0.7136,0.7782,0.43,0.0730,0.025912,43.7
35,1.9948,0.7109,0.7586,1.6214,0.7670,0.7096,0.7632,0.42,0.0780,0.023209,44.6
36,1.9748,0.7165,0.7634,1.5363,0.7768,0.7074,0.7788,0.46,0.0518,0.020611,43.9
37,1.9653,0.7183,0.7665,1.5418,0.7792,0.7196,0.7788,0.43,0.0780,0.018129,44.4
38,1.9441,0.7242,0.7744,1.4821,0.7930,0.7266,0.7944,0.45,0.0799,0.015773,45.5
39,1.9307,0.7245,0.7790,1.4519,0.7994,0.7334,0.7966,0.45,0.0827,0.013552,40.1
40,1.9139,0.7281,0.7825,1.4642,0.7996,0.7294,0.8018,0.44,0.0791,0.011474,39.2
41,1.9001,0.7314,0.7907,1.4404,0.7984,0.7456,0.7956,0.45,0.0935,0.009549,40.4
42,1.8863,0.7344,0.7952,1.4140,0.8104,0.7420,0.8102,0.45,0.0912,0.007784,40.1
43,1.8661,0.7388,0.7981,1.4225,0.8010,0.7380,0.8058,0.46,0.0844,0.006185,39.3
44,1.8594,0.7399,0.8014,1.3898,0.8106,0.7480,0.8134,0.47,0.0912,0.004759,40.5
45,1.8446,0.7440,0.8064,1.3760,0.8108,0.7506,0.8124,0.47,0.0895,0.003511,39.0
46,1.8317,0.7476,0.8098,1.3654,0.8180,0.7500,0.8200,0.47,0.0887,0.002447,39.7
47,1.8234,0.7469,0.8133,1.3490,0.8240,0.7560,0.8238,0.48,0.0886,0.001571,39.1
48,1.8167,0.7517,0.8157,1.3441,0.8226,0.7574,0.8228,0.47,0.0942,0.000886,39.0
49,1.8108,0.7513,0.8177,1.3416,0.8222,0.7598,0.8228,0.48,0.0956,0.000394,39.4
50,1.8058,0.7545,0.8182,1.3404,0.8230,0.7600,0.8244,0.48,0.0953,0.000099,39.1
