epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.2601,0.3697,0.3889,2.9761,0.4832,0.4240,0.4830,0.08,0.0163,0.100000,41.9
2,2.9049,0.4858,0.4826,2.7028,0.5212,0.4986,0.5186,0.17,0.0309,0.099901,42.6
3,2.7330,0.5332,0.5362,2.5297,0.5704,0.5336,0.5640,0.20,0.0303,0.099606,43.5
4,2.6369,0.5526,0.5710,2.4167,0.5980,0.5386,0.5970,0.23,0.0252,0.099114,42.6
5,2.5748,0.5631,0.5933,2.5665,0.5784,0.5188,0.5872,0.29,0.0693,0.098429,43.4
6,2.5173,0.5746,0.6084,2.2989,0.6414,0.5640,0.6402,0.23,0.0376,0.097553,43.4
7,2.4633,0.5899,0.6242,2.3601,0.6090,0.5578,0.6020,0.28,0.0126,0.096489,42.9
8,2.4365,0.5952,0.6324,2.2222,0.6508,0.5902,0.6414,0.30,0.0257,0.095241,43.5
9,2.4023,0.6040,0.6440,2.1310,0.6702,0.5994,0.6684,0.28,0.0441,0.093815,43.6
10,2.3743,0.6080,0.6519,2.3306,0.6080,0.5820,0.5930,0.31,0.0121,0.092216,42.9
11,2.3607,0.6113,0.6587,2.1845,0.6668,0.5830,0.6618,0.30,0.0135,0.090451,43.7
12,2.3436,0.6176,0.6644,2.0309,0.6930,0.6100,0.6914,0.30,0.0464,0.088526,43.4
13,2.3184,0.6231,0.6723,2.0348,0.6814,0.6450,0.6750,0.32,0.0751,0.086448,42.9
14,2.3127,0.6246,0.6726,2.1476,0.6808,0.5888,0.6766,0.29,0.0293,0.084227,42.8
15,2.2953,0.6282,0.6780,1.9333,0.7050,0.6376,0.7062,0.34,0.0494,0.081871,42.8
16,2.2831,0.6307,0.6812,2.0518,0.7058,0.5846,0.7012,0.30,0.0220,0.079389,43.1
17,2.2621,0.6367,0.6885,2.0977,0.7024,0.5840,0.7018,0.34,0.0170,0.076791,43.5
18,2.2562,0.6386,0.6872,2.0712,0.6548,0.6468,0.6476,0.30,0.0782,0.074088,44.1
19,2.2331,0.6462,0.6928,2.0604,0.6882,0.6126,0.6836,0.30,0.0468,0.071289,44.1
20,2.2247,0.6474,0.6986,1.9275,0.7134,0.6222,0.7186,0.34,0.0323,0.068406,44.2
21,2.2015,0.6535,0.7045,1.8638,0.7198,0.6604,0.7110,0.37,0.0529,0.065451,43.7
22,2.2017,0.6565,0.6997,2.0042,0.6928,0.6346,0.6812,0.37,0.0276,0.062434,42.9
23,2.1798,0.6619,0.7084,1.7728,0.7360,0.6806,0.7292,0.37,0.0695,0.059369,43.1
24,2.1585,0.6703,0.7123,1.8640,0.7116,0.6832,0.6958,0.37,0.0747,0.056267,41.8
25,2.1471,0.6725,0.7141,1.7377,0.7396,0.6774,0.7390,0.39,0.0625,0.053140,41.5
26,2.1328,0.6761,0.7188,1.8076,0.7140,0.6792,0.7092,0.38,0.0582,0.050000,43.1
27,2.1231,0.6782,0.7236,1.7835,0.7350,0.6720,0.7326,0.38,0.0536,0.046860,44.3
28,2.1043,0.6844,0.7258,1.8349,0.7422,0.6374,0.7442,0.37,0.0288,0.043733,44.2
