threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7903,0.6013,0.6948,0.8217,380912,2629088,1429129,0.0976,0.0490
0.60,0.8106,0.4699,0.6948,0.8217,380912,2629088,1774592,0.0976,0.0211
0.70,0.8171,0.3579,0.6948,0.8217,380912,2629088,2069049,0.0976,0.0097
0.80,0.8196,0.2530,0.6948,0.8217,380912,2629088,2344841,0.0976,0.0042
0.90,0.8219,0.1325,0.6948,0.8217,380912,2629088,2661646,0.0976,0.0002
0.95,0.8217,0.0598,0.6948,0.8217,380912,2629088,2852781,0.0976,0.0000
