threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7737,0.6117,0.6809,0.7995,383904,2271200,1265811,0.0762,0.0447
0.60,0.7903,0.4802,0.6809,0.7995,383904,2271200,1564474,0.0762,0.0198
0.70,0.7977,0.3703,0.6809,0.7995,383904,2271200,1814079,0.0762,0.0079
0.80,0.7990,0.2685,0.6809,0.7995,383904,2271200,2045287,0.0762,0.0027
0.90,0.7993,0.1474,0.6809,0.7995,383904,2271200,2320329,0.0762,0.0006
0.95,0.7994,0.0752,0.6809,0.7995,383904,2271200,2484310,0.0762,0.0001
