threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7536,0.7607,0.6969,0.7953,383904,2271200,927402,0.0107,0.0714
0.60,0.7730,0.6282,0.6969,0.7953,383904,2271200,1228336,0.0107,0.0418
0.70,0.7868,0.5078,0.6969,0.7953,383904,2271200,1501789,0.0107,0.0205
0.80,0.7932,0.3937,0.6969,0.7953,383904,2271200,1760933,0.0107,0.0078
0.90,0.7954,0.2661,0.6969,0.7953,383904,2271200,2050738,0.0107,0.0018
0.95,0.7954,0.1804,0.6969,0.7953,383904,2271200,2245380,0.0107,0.0006
