epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.3486,0.3663,0.3827,2.8489,0.4794,0.4752,0.4764,0.12,0.0244,0.100000,43.9
2,2.8553,0.4739,0.4772,2.6719,0.5144,0.5016,0.5100,0.19,0.0160,0.099901,42.3
3,2.6123,0.5250,0.5360,2.5867,0.5702,0.5020,0.5724,0.27,0.0594,0.099606,43.4
4,2.4311,0.5512,0.5754,2.3709,0.6012,0.5540,0.5980,0.32,0.0330,0.099114,42.3
5,2.3273,0.5664,0.5997,2.5214,0.6208,0.5128,0.6374,0.43,0.1363,0.098429,39.7
6,2.2421,0.5803,0.6171,2.5001,0.6196,0.5124,0.6212,0.36,0.1023,0.097553,39.4
7,2.1644,0.5945,0.6366,2.2509,0.6322,0.5718,0.6374,0.44,0.0843,0.096489,39.3
8,2.1249,0.5997,0.6478,2.1628,0.6532,0.5908,0.6608,0.43,0.0610,0.095241,39.6
9,2.0905,0.6028,0.6516,2.0979,0.6512,0.6156,0.6412,0.39,0.0179,0.093815,38.2
10,2.0600,0.6112,0.6575,2.0351,0.6734,0.6098,0.6730,0.43,0.0493,0.092216,40.4
11,2.0342,0.6100,0.6650,1.9808,0.6972,0.6014,0.6954,0.37,0.0351,0.090451,42.8
12,2.0158,0.6178,0.6698,1.9375,0.6942,0.6190,0.6894,0.43,0.0380,0.088526,42.6
13,1.9821,0.6205,0.6766,1.9857,0.6810,0.6134,0.6798,0.45,0.0440,0.086448,40.3
14,1.9650,0.6242,0.6810,2.1678,0.6650,0.5662,0.6742,0.45,0.0966,0.084227,40.5
15,1.9399,0.6330,0.6830,1.9376,0.6998,0.6172,0.7052,0.46,0.0509,0.081871,40.6
16,1.9246,0.6334,0.6880,1.8888,0.7102,0.6226,0.7106,0.43,0.0305,0.079389,40.6
17,1.8946,0.6388,0.6922,1.8473,0.7080,0.6310,0.7030,0.43,0.0246,0.076791,39.8
18,1.8748,0.6470,0.6930,2.0488,0.6822,0.5826,0.6966,0.41,0.0610,0.074088,40.5
19,1.8369,0.6546,0.6984,1.7594,0.7198,0.6732,0.7120,0.48,0.0142,0.071289,39.6
20,1.8143,0.6553,0.7032,1.8112,0.7140,0.6638,0.7006,0.47,0.0178,0.068406,39.0
21,1.7914,0.6598,0.7066,1.7919,0.7134,0.6782,0.6978,0.49,0.0177,0.065451,39.3
22,1.7693,0.6646,0.7091,2.0307,0.6918,0.6174,0.6910,0.49,0.0725,0.062434,38.7
23,1.7599,0.6680,0.7131,1.6778,0.7332,0.6872,0.7244,0.52,0.0119,0.059369,39.2
24,1.7282,0.6738,0.7169,1.6768,0.7354,0.6882,0.7312,0.48,0.0139,0.056267,39.3
25,1.7117,0.6783,0.7214,1.5882,0.7528,0.7008,0.7454,0.51,0.0159,0.053140,39.9
26,1.6975,0.6802,0.7258,1.6360,0.7418,0.6862,0.7392,0.52,0.0208,0.050000,39.9
27,1.6751,0.6851,0.7274,1.6359,0.7426,0.6850,0.7466,0.55,0.0351,0.046860,39.8
