epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.3373,0.3532,0.4012,2.9708,0.5094,0.4112,0.5124,0.12,0.0492,0.100000,43.1
2,2.7695,0.4565,0.5314,2.8093,0.5290,0.4534,0.5368,0.19,0.0573,0.099901,43.1
3,2.5376,0.4923,0.5902,2.3889,0.6230,0.5226,0.6304,0.30,0.0533,0.099606,43.8
4,2.4068,0.5127,0.6212,2.7185,0.5526,0.4958,0.5550,0.26,0.0524,0.099114,43.4
5,2.3166,0.5242,0.6463,2.2762,0.6586,0.5268,0.6708,0.28,0.0396,0.098429,42.9
6,2.2435,0.5353,0.6598,2.2721,0.6766,0.5248,0.6910,0.33,0.0659,0.097553,42.9
7,2.1874,0.5485,0.6727,2.2843,0.6478,0.5476,0.6454,0.33,0.0422,0.096489,42.6
8,2.1334,0.5594,0.6831,2.1249,0.6664,0.5656,0.6740,0.32,0.0221,0.095241,42.6
9,2.0991,0.5659,0.6905,2.1290,0.6916,0.5576,0.7050,0.39,0.0618,0.093815,43.6
10,2.0557,0.5762,0.6997,2.3330,0.6572,0.5306,0.6910,0.45,0.1263,0.092216,42.5
11,2.0395,0.5788,0.7015,1.9870,0.7006,0.6042,0.7100,0.36,0.0235,0.090451,43.0
12,2.0105,0.5803,0.7064,2.1416,0.6802,0.5922,0.6752,0.34,0.0148,0.088526,42.7
13,1.9889,0.5846,0.7122,2.0535,0.7040,0.5820,0.7048,0.38,0.0420,0.086448,42.6
14,1.9705,0.5894,0.7145,1.9318,0.7076,0.6122,0.7096,0.38,0.0160,0.084227,42.8
15,1.9427,0.5945,0.7204,2.2524,0.6696,0.5390,0.6850,0.34,0.0659,0.081871,42.8
16,1.9278,0.5946,0.7240,1.9704,0.6990,0.6094,0.7054,0.38,0.0207,0.079389,45.0
17,1.9079,0.5981,0.7268,1.9668,0.7044,0.5928,0.7054,0.40,0.0336,0.076791,44.0
18,1.8916,0.6022,0.7282,2.0347,0.6872,0.6140,0.6806,0.36,0.0145,0.074088,44.3
19,1.8670,0.6053,0.7369,2.0434,0.6920,0.5924,0.7064,0.41,0.0481,0.071289,42.3
20,1.8549,0.6077,0.7383,1.9670,0.7266,0.5966,0.7322,0.38,0.0314,0.068406,42.4
21,1.8412,0.6102,0.7402,1.8197,0.7486,0.6126,0.7520,0.40,0.0252,0.065451,42.9
22,1.8187,0.6158,0.7436,2.0456,0.6798,0.6012,0.6872,0.44,0.0547,0.062434,44.2
23,1.7931,0.6194,0.7486,1.8411,0.7380,0.6136,0.7430,0.38,0.0143,0.059369,45.7
24,1.7680,0.6251,0.7562,1.7948,0.7372,0.6446,0.7406,0.42,0.0189,0.056267,42.4
25,1.7603,0.6269,0.7570,1.6663,0.7608,0.6484,0.7664,0.46,0.0222,0.053140,42.8
26,1.7446,0.6276,0.7590,1.7203,0.7528,0.6476,0.7638,0.44,0.0175,0.050000,42.3
27,1.7207,0.6307,0.7612,1.8186,0.7270,0.6360,0.7362,0.45,0.0278,0.046860,41.0
28,1.7044,0.6361,0.7646,1.7165,0.7600,0.6178,0.7834,0.45,0.0425,0.043733,42.9
29,1.6746,0.6415,0.7739,1.6628,0.7738,0.6404,0.7840,0.44,0.0215,0.040631,42.5
30,1.6627,0.6416,0.7748,1.6482,0.7750,0.6524,0.7832,0.43,0.0166,0.037566,42.9
31,1.6392,0.6462,0.7767,1.6799,0.7582,0.6386,0.7834,0.49,0.0429,0.034549,43.9
32,1.6217,0.6494,0.7824,1.5957,0.7732,0.6648,0.7838,0.46,0.0206,0.031594,43.6
33,1.5951,0.6508,0.7889,1.6642,0.7686,0.6496,0.7744,0.45,0.0168,0.028711,42.5
34,1.5884,0.6522,0.7914,1.5770,0.7778,0.6624,0.7936,0.47,0.0201,0.025912,43.2
35,1.5660,0.6576,0.7934,1.5441,0.7912,0.6750,0.7996,0.48,0.0134,0.023209,42.5
36,1.5391,0.6616,0.8010,1.5493,0.7906,0.6606,0.8010,0.44,0.0121,0.020611,42.6
37,1.5153,0.6648,0.8058,1.5289,0.7926,0.6708,0.8020,0.47,0.0156,0.018129,42.5
38,1.4994,0.6667,0.8051,1.5037,0.7996,0.6736,0.8058,0.45,0.0205,0.015773,43.6
39,1.4732,0.6724,0.8109,1.4559,0.8000,0.6892,0.8064,0.47,0.0275,0.013552,43.1
40,1.4537,0.6758,0.8162,1.4336,0.8000,0.7016,0.8050,0.49,0.0253,0.011474,43.5
41,1.4367,0.6794,0.8185,1.3862,0.8134,0.7018,0.8168,0.49,0.0320,0.009549,42.3
42,1.4128,0.6803,0.8235,1.3719,0.8176,0.7048,0.8210,0.49,0.0255,0.007784,43.6
43,1.3958,0.6866,0.8257,1.3722,0.8114,0.7050,0.8200,0.50,0.0206,0.006185,42.7
44,1.3718,0.6868,0.8342,1.3625,0.8094,0.7072,0.8172,0.50,0.0194,0.004759,43.0
45,1.3598,0.6914,0.8371,1.3390,0.8158,0.7136,0.8208,0.51,0.0258,0.003511,43.4
46,1.3507,0.6901,0.8385,1.3312,0.8176,0.7144,0.8226,0.51,0.0227,0.002447,43.2
47,1.3339,0.6918,0.8406,1.3257,0.8196,0.7178,0.8252,0.51,0.0309,0.001571,42.5
48,1.3318,0.6954,0.8401,1.3207,0.8196,0.7158,0.8268,0.51,0.0274,0.000886,43.5
49,1.3147,0.6954,0.8429,1.3156,0.8202,0.7150,0.8264,0.51,0.0226,0.000394,43.0
50,1.3197,0.6950,0.8453,1.3186,0.8206,0.7188,0.8242,0.51,0.0282,0.000099,42.7
