threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7669,0.7530,0.6989,0.8173,380912,2629088,1030297,0.0117,0.0805
0.60,0.7895,0.6240,0.6989,0.8173,380912,2629088,1369449,0.0117,0.0479
0.70,0.8011,0.5080,0.6989,0.8173,380912,2629088,1674423,0.0117,0.0269
0.80,0.8128,0.3968,0.6989,0.8173,380912,2629088,1966778,0.0117,0.0105
0.90,0.8160,0.2694,0.6989,0.8173,380912,2629088,2301724,0.0117,0.0031
0.95,0.8170,0.1788,0.6989,0.8173,380912,2629088,2539919,0.0117,0.0009
