threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7810,0.8436,0.7558,0.8074,786752,2995520,1255251,0.0088,0.0629
0.60,0.7930,0.7352,0.7558,0.8074,786752,2995520,1579966,0.0088,0.0398
0.70,0.8014,0.6320,0.7558,0.8074,786752,2995520,1889103,0.0088,0.0220
0.80,0.8064,0.5212,0.7558,0.8074,786752,2995520,2221007,0.0088,0.0097
0.90,0.8069,0.3852,0.7558,0.8074,786752,2995520,2628398,0.0088,0.0035
0.95,0.8078,0.2811,0.7558,0.8074,786752,2995520,2940231,0.0088,0.0011
