threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7848,0.8399,0.7560,0.7964,786752,2995520,1266335,0.0109,0.0605
0.60,0.7957,0.7376,0.7560,0.7964,786752,2995520,1572776,0.0109,0.0372
0.70,0.8007,0.6347,0.7560,0.7964,786752,2995520,1881015,0.0109,0.0213
0.80,0.8032,0.5277,0.7560,0.7964,786752,2995520,2201536,0.0109,0.0098
0.90,0.8009,0.3972,0.7560,0.7964,786752,2995520,2592451,0.0109,0.0030
0.95,0.7995,0.3049,0.7560,0.7964,786752,2995520,2868938,0.0109,0.0004
