epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.1160,0.3543,0.3584,2.9823,0.4662,0.4256,0.4676,0.12,0.0384,0.100000,40.1
2,2.6594,0.4479,0.4646,2.8477,0.5178,0.4656,0.5144,0.25,0.0825,0.099901,39.6
3,2.4661,0.4919,0.5064,2.6593,0.5352,0.5110,0.5310,0.20,0.0208,0.099606,39.9
4,2.3431,0.5180,0.5400,2.5070,0.5780,0.5384,0.5582,0.26,0.0216,0.099114,40.0
5,2.2485,0.5323,0.5664,2.5836,0.5760,0.5060,0.5800,0.33,0.0790,0.098429,39.1
6,2.1918,0.5398,0.5838,2.3425,0.6126,0.5636,0.5952,0.31,0.0282,0.097553,39.8
7,2.1243,0.5447,0.6033,2.4053,0.6118,0.5588,0.5958,0.34,0.0481,0.096489,40.4
8,2.0919,0.5506,0.6143,2.2675,0.6454,0.5626,0.6444,0.31,0.0237,0.095241,40.9
9,2.0475,0.5563,0.6247,2.4125,0.6200,0.5400,0.6142,0.33,0.0482,0.093815,45.1
10,2.0224,0.5589,0.6322,2.3911,0.5976,0.5712,0.5670,0.34,0.0333,0.092216,42.5
11,2.0030,0.5616,0.6387,2.1644,0.6470,0.5900,0.6342,0.36,0.0238,0.090451,44.8
12,1.9779,0.5656,0.6487,2.2623,0.6546,0.5468,0.6544,0.37,0.0656,0.088526,44.4
13,1.9613,0.5706,0.6553,2.1426,0.6744,0.5704,0.6678,0.37,0.0415,0.086448,44.3
14,1.9376,0.5714,0.6645,2.2711,0.6282,0.5716,0.6148,0.34,0.0298,0.084227,44.6
15,1.9114,0.5735,0.6683,2.0966,0.6682,0.5854,0.6668,0.39,0.0325,0.081871,44.8
16,1.9089,0.5728,0.6706,2.0544,0.6872,0.5794,0.6838,0.37,0.0383,0.079389,44.5
17,1.8866,0.5782,0.6740,2.4770,0.6048,0.5512,0.5854,0.28,0.0357,0.076791,44.7
