threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.50,0.7461,0.7351,0.6737,0.7892,383904,2271200,985545,0.0145,0.0785
0.60,0.7678,0.6017,0.6737,0.7892,383904,2271200,1288523,0.0145,0.0460
0.70,0.7799,0.4923,0.6737,0.7892,383904,2271200,1536992,0.0145,0.0261
0.80,0.7858,0.3830,0.6737,0.7892,383904,2271200,1785234,0.0145,0.0117
0.90,0.7905,0.2597,0.6737,0.7892,383904,2271200,2065273,0.0145,0.0022
0.95,0.7903,0.1804,0.6737,0.7892,383904,2271200,2245380,0.0145,0.0005
