epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.0265,0.3643,0.3827,2.9097,0.4812,0.4438,0.4798,0.12,0.0222,0.100000,39.1
2,2.5870,0.4715,0.4759,2.7958,0.5262,0.4466,0.5264,0.27,0.1087,0.099901,40.0
3,2.3696,0.5203,0.5305,2.5174,0.5640,0.5310,0.5516,0.30,0.0386,0.099606,39.2
4,2.2299,0.5416,0.5627,2.3219,0.6048,0.5664,0.6010,0.30,0.0282,0.099114,40.0
5,2.1375,0.5568,0.5916,2.3696,0.6160,0.5396,0.6370,0.39,0.0853,0.098429,39.5
6,2.0576,0.5692,0.6101,2.3580,0.6210,0.5456,0.6148,0.35,0.0691,0.097553,40.6
7,1.9955,0.5833,0.6258,2.2413,0.6406,0.5680,0.6400,0.40,0.0665,0.096489,40.5
8,1.9662,0.5879,0.6325,2.2260,0.6376,0.6060,0.6058,0.42,0.0382,0.095241,39.8
9,1.9341,0.5916,0.6434,2.0770,0.6580,0.6140,0.6446,0.36,0.0154,0.093815,38.7
10,1.8914,0.6020,0.6469,2.1081,0.6564,0.5936,0.6540,0.38,0.0346,0.092216,39.7
11,1.8604,0.6066,0.6573,2.0109,0.6878,0.6224,0.6742,0.41,0.0218,0.090451,39.0
12,1.8459,0.6115,0.6633,1.9569,0.6900,0.6320,0.6776,0.39,0.0208,0.088526,38.8
13,1.7989,0.6241,0.6646,2.0098,0.6946,0.6202,0.6812,0.43,0.0303,0.086448,38.4
14,1.7846,0.6295,0.6688,2.0535,0.6890,0.5858,0.7042,0.42,0.0634,0.084227,39.4
15,1.7688,0.6298,0.6706,1.9949,0.6724,0.6322,0.6620,0.44,0.0265,0.081871,39.4
16,1.7442,0.6399,0.6731,1.9231,0.7048,0.6336,0.6872,0.40,0.0217,0.079389,39.3
17,1.7148,0.6433,0.6824,1.9358,0.7044,0.6286,0.7050,0.44,0.0371,0.076791,39.4
18,1.7058,0.6456,0.6800,1.8860,0.7014,0.6422,0.6978,0.47,0.0343,0.074088,39.3
19,1.6806,0.6541,0.6842,1.8899,0.6980,0.6610,0.6872,0.50,0.0365,0.071289,39.0
20,1.6639,0.6527,0.6900,1.7666,0.7224,0.6608,0.7154,0.50,0.0303,0.068406,39.0
21,1.6520,0.6556,0.6940,1.7694,0.7144,0.6674,0.7010,0.50,0.0205,0.065451,40.6
22,1.6337,0.6585,0.6964,1.9408,0.7082,0.6432,0.7016,0.48,0.0435,0.062434,44.0
23,1.6127,0.6675,0.6984,1.7420,0.7270,0.6688,0.7184,0.50,0.0241,0.059369,44.3
24,1.5970,0.6659,0.7041,1.7408,0.7284,0.6928,0.7038,0.52,0.0177,0.056267,44.4
25,1.5841,0.6714,0.7031,1.7074,0.7296,0.6844,0.7220,0.51,0.0181,0.053140,44.4
26,1.5607,0.6755,0.7079,1.7189,0.7366,0.6764,0.7350,0.51,0.0259,0.050000,44.1
27,1.5526,0.6792,0.7096,1.7826,0.7144,0.6574,0.7182,0.54,0.0585,0.046860,40.1
28,1.5235,0.6838,0.7166,1.6921,0.7376,0.6860,0.7322,0.53,0.0244,0.043733,39.6
29,1.5132,0.6856,0.7207,1.6811,0.7376,0.6864,0.7264,0.52,0.0201,0.040631,44.8
30,1.4866,0.6897,0.7241,1.6613,0.7412,0.6914,0.7290,0.54,0.0228,0.037566,44.5
31,1.4655,0.6948,0.7314,1.5983,0.7504,0.6916,0.7478,0.55,0.0277,0.034549,44.7
32,1.4410,0.7002,0.7335,1.5617,0.7604,0.6930,0.7542,0.57,0.0331,0.031594,44.2
33,1.4209,0.7028,0.7366,1.6300,0.7456,0.6956,0.7424,0.55,0.0227,0.028711,44.2
34,1.4053,0.7033,0.7420,1.6374,0.7500,0.6748,0.7542,0.58,0.0620,0.025912,44.7
35,1.3919,0.7068,0.7460,1.5589,0.7658,0.7034,0.7606,0.57,0.0270,0.023209,44.5
36,1.3664,0.7129,0.7482,1.5238,0.7676,0.7226,0.7552,0.59,0.0220,0.020611,44.3
37,1.3366,0.7159,0.7560,1.4556,0.7694,0.7254,0.7660,0.58,0.0163,0.018129,44.4
38,1.3174,0.7194,0.7625,1.4971,0.7692,0.7072,0.7750,0.58,0.0361,0.015773,44.7
39,1.2948,0.7260,0.7663,1.3921,0.7880,0.7286,0.7874,0.59,0.0216,0.013552,44.9
40,1.2711,0.7273,0.7728,1.3782,0.7890,0.7370,0.7860,0.61,0.0227,0.011474,44.8
41,1.2542,0.7341,0.7772,1.3674,0.7876,0.7348,0.7872,0.61,0.0200,0.009549,44.1
